Title,Company,Salary Range,Fit Score,Location,Resume Link,Cover Letter Link,Job Link
"Avery Dennison Assistant manager, Operations Data Analyst",Averydennison,₹13 - ₹18.5 LPA (Est.),92%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Averydennison_Avery_Dennison__20260831_160105.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Averydennison_Avery_Dennison__20260831_160105.pdf,https://jobs.smartrecruiters.com/AveryDennison/744000139256849-assistant-manager-operations-data-analyst
Senior Full-Stack SharePoint & Microsoft Power Platform Developer,Techylla,₹11 - ₹15 LPA (Est.),95%,"Kolkata, West Bengal, India (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Techylla_Senior_Full_Sta_20260901_042002.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Techylla_Senior_Full_Sta_20260901_042002.pdf,https://www.linkedin.com/jobs/view/4459227562
Power BI & Power Platform Developer,Eximietas Design,₹9 - ₹14 LPA (Est.),96%,"Bengaluru, Karnataka, India (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Eximietas_Desig_Power_BI___Powe_20260901_131901.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Eximietas_Desig_Power_BI___Powe_20260901_131901.pdf,https://www.linkedin.com/jobs/view/4461714310
Report / Power BI Developer (SQL),Lacento Technologies Private Limited,₹7 - ₹11 LPA (Est.),88%,"Bengaluru, Karnataka, India (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Lacento_Technol_Report___Power__20260901_191959.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Lacento_Technol_Report___Power__20260901_191959.pdf,https://www.linkedin.com/jobs/view/4460605830
PHONEPE LIMITED Product Operations Analyst,Phonepelimited,₹11 - ₹16 LPA (Est.),95%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Phonepelimited_PHONEPE_LIMITED_20260901_192046.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Phonepelimited_PHONEPE_LIMITED_20260901_192046.pdf,https://jobs.smartrecruiters.com/PHONEPELIMITED/1000000000001060-product-operations-analyst"Lifted, an Upwork Company™ #130527 - Data Analyst",Liftedanupworkcompany,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Liftedanupworkc_Lifted__an_Upwo_20260902_153225.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Liftedanupworkc_Lifted__an_Upwo_20260902_153225.pdf,https://jobs.smartrecruiters.com/LiftedanUpworkCompany/3743990014969196--130527-data-analyst-
Data Analyst (Product & Customer Analytics),Oowlish,₹10.5 - ₹16.5 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Oowlish_Data_Analyst__P_20260902_153244.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Oowlish_Data_Analyst__P_20260902_153244.pdf,https://jobs.lever.co/oowlish/4d812d70-6ae0-4640-b6e9-98c7cc9c4080/apply?lever-origin=applied&lever-source%5B%5D=Jobgether&utm_campaign=search&utm_medium=website
"Vice President, Business Analyst",Uobgroup,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Uobgroup_Vice_President__20260902_153308.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Uobgroup_Vice_President__20260902_153308.pdf,https://uobgroup.wd3.myworkdayjobs.com/en-US/uobexternal/job/Central-Region-City-Area/Vice-President--Business-Analyst_JR92218
Jobgether - Senior Data Analyst,Jobgether,₹12 - ₹16 LPA (Est.),88%,India (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Jobgether_Jobgether___Sen_20260902_153316.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Jobgether_Jobgether___Sen_20260902_153316.pdf,https://jobs.lever.co/jobgether/943f9382-7ff7-475b-8ccc-d31514a6878a
"Data Analyst, Clinical Analytics and Reporting",Davita,₹12 - ₹16 LPA (Est.),88%,Remote (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Davita_Data_Analyst__C_20260902_154044.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Davita_Data_Analyst__C_20260902_154044.pdf,https://davita.wd1.myworkdayjobs.com/dkc_external/job/09567---denver-hq-non-ca-or-co-remote/data-analyst--clinical-analytics-and-reporting_r0472175
Systems Integration & Automation Analyst - Jobgether,Jobgether,₹12 - ₹16 LPA (Est.),88%,Remote (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Jobgether_Systems_Integra_20260902_155925.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Jobgether_Systems_Integra_20260902_155925.pdf,https://jobs.lever.co/jobgether/4acf2b4b-cdeb-4cea-a57f-2628f4c7b701
