Title,Company,Salary Range,Fit Score,Location,Resume Link,Cover Letter Link,Job Link
Manager Business Analyst - Myworkdayjobs.com,Fil,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Fil_Manager_Busines_20260831_091745.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Fil_Manager_Busines_20260831_091745.pdf,https://fil.wd3.myworkdayjobs.com/it-IT/001/job/Gurgaon-Office/Manager-Business-Analyst_J69083-1
Senior Business Analyst - Careers - Myworkdayjobs.com,Quantiphi,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Quantiphi_Senior_Business_20260831_091746.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Quantiphi_Senior_Business_20260831_091746.pdf,https://quantiphi.wd1.myworkdayjobs.com/en-US/Careers_at_Quantiphi/job/Senior-Business-Analyst_JR10303
Senior Financial Data Analyst - Myworkdayjobs.com,Simcorp,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Simcorp_Senior_Financia_20260831_091746.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Simcorp_Senior_Financia_20260831_091746.pdf,https://simcorp.wd3.myworkdayjobs.com/SimCorp_Jobs/job/Noida/Senior-Financial-Data-Analyst_R-212208?source=website
Index Platform Product Owner / Business Analyst,Issgovernance,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Issgovernance_Index_Platform__20260831_091747.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Issgovernance_Index_Platform__20260831_091747.pdf,https://issgovernance.wd1.myworkdayjobs.com/en-US/ISScareers/job/Index-Platform-Product-Owner---Business-Analyst_JR_10089
Business Analyst - Master Data Management!,Genpact,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Genpact_Business_Analys_20260831_091748.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Genpact_Business_Analys_20260831_091748.pdf,https://genpact.wd108.myworkdayjobs.com/en-US/External_Careers/job/Business-Analyst---Master-Data-Management-_ANA021694
Data Analyst - Myworkdayjobs.com,Guidehouse,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Guidehouse_Data_Analyst____20260831_091749.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Guidehouse_Data_Analyst____20260831_091749.pdf,https://guidehouse.wd1.myworkdayjobs.com/en-US/External/job/Data-Analyst_41713
Manager Business Analyst - GC Data & Insights,Fil,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Fil_Manager_Busines_20260831_091749.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Fil_Manager_Busines_20260831_091749.pdf,https://fil.wd3.myworkdayjobs.com/001/job/Gurgaon-Office/Manager-Business-Analyst---GC-Data---Insights_J70686-1
"Data Analyst (Business Intelligence, Python, Machine Learning ...",Fis,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Fis_Data_Analyst__B_20260831_091750.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Fis_Data_Analyst__B_20260831_091750.pdf,https://fis.wd5.myworkdayjobs.com/en-US/searchjobs/job/IND-BNGL-FL2-3-TWR-3/Data-Analyst--Business-Intelligence--Python--Machine-Learning--Power-BI-_JR0304808/apply/useMyLastApplication
Job Application for Data Analyst ( Data Science ) at Arcadia,Arcadiacareers,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Arcadiacareers_Job_Application_20260831_091751.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Arcadiacareers_Job_Application_20260831_091751.pdf,https://job-boards.greenhouse.io/arcadiacareers/jobs/8620471002
Sr Revenue Operations Analyst( Bangalore-Hybrid),Smartsheet,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Smartsheet_Sr_Revenue_Oper_20260831_091751.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Smartsheet_Sr_Revenue_Oper_20260831_091751.pdf,https://job-boards.greenhouse.io/smartsheet/jobs/8104814
Job Application for AI Data Analyst at Glean,Gleanwork,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Gleanwork_Job_Application_20260831_091752.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Gleanwork_Job_Application_20260831_091752.pdf,https://job-boards.greenhouse.io/gleanwork/jobs/4724189005
Job Application for Data Analyst L1 at Cohere Health,Coherehealth,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Coherehealth_Job_Application_20260831_091753.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Coherehealth_Job_Application_20260831_091753.pdf,https://job-boards.greenhouse.io/coherehealth/jobs/7741468003
Job Application for Staff Product Analyst at Boulevard,Boulevard,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Boulevard_Job_Application_20260831_091753.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Boulevard_Job_Application_20260831_091753.pdf,http://job-boards.greenhouse.io/boulevard/jobs/4671883006
Job Application for Staff Data Analyst (Remote US) at Splice,Splice,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Splice_Job_Application_20260831_091754.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Splice_Job_Application_20260831_091754.pdf,https://job-boards.greenhouse.io/splice/jobs/8742719002
"Staff AI Product Analyst, Product Management | Germany",Grafanalabs,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Grafanalabs_Staff_AI_Produc_20260831_091755.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Grafanalabs_Staff_AI_Produc_20260831_091755.pdf,http://job-boards.greenhouse.io/grafanalabs/jobs/6107540004
"Job Application for Data Analyst, Labs at DoorDash India",Doordashindia,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Doordashindia_Job_Application_20260831_091756.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Doordashindia_Job_Application_20260831_091756.pdf,https://job-boards.greenhouse.io/doordashindia/jobs/6661816?gh_src=529d43191us
Drivetrain - Business Analyst - Customer Platform,Drivetrain,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Drivetrain_Drivetrain___Bu_20260831_091756.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Drivetrain_Drivetrain___Bu_20260831_091756.pdf,https://jobs.lever.co/drivetrain/7c194c7d-4bbf-41cc-9dea-e0db2d2b2032/apply
Data Analyst - Fam,Fampay,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Fampay_Data_Analyst____20260831_091757.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Fampay_Data_Analyst____20260831_091757.pdf,https://jobs.lever.co/fampay/81aae662-f03e-4102-9381-fd3a80ae2db7
Senior Data Analyst - Netomi,Netomi,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Netomi_Senior_Data_Ana_20260831_091758.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Netomi_Senior_Data_Ana_20260831_091758.pdf,https://jobs.lever.co/netomi/6dace09f-ba98-46d2-9184-050851bace22
JumpCloud - Financial Data Analyst - India,Jumpcloud,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Jumpcloud_JumpCloud___Fin_20260831_091758.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Jumpcloud_JumpCloud___Fin_20260831_091758.pdf,https://jobs.lever.co/jumpcloud/3cde05a3-b7e2-4aea-a5f0-e85f6974789c
Grant Street Group - Business Analyst,Grantstreet,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Grantstreet_Grant_Street_Gr_20260831_091759.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Grantstreet_Grant_Street_Gr_20260831_091759.pdf,https://jobs.lever.co/grantstreet/ee9892b2-41f6-45d7-b31a-56b806fd1565/apply
Business Analyst- Paytm Ads,Paytm,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Paytm_Business_Analys_20260831_091800.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Paytm_Business_Analys_20260831_091800.pdf,https://jobs.lever.co/paytm/0a05295a-5393-4c0d-bb0a-a0e7c97f1287
"Luxury Presence - Senior Data Analyst, GTM Analytics",Luxurypresence,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Luxurypresence_Luxury_Presence_20260831_091801.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Luxurypresence_Luxury_Presence_20260831_091801.pdf,https://jobs.lever.co/luxurypresence/0a6fd9f4-a606-460e-b65e-5b31de56331a
Data Analyst (Product & Customer Analytics),Oowlish,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Oowlish_Data_Analyst__P_20260831_091801.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Oowlish_Data_Analyst__P_20260831_091801.pdf,https://jobs.lever.co/oowlish/4d812d70-6ae0-4640-b6e9-98c7cc9c4080
JumpCloud - Financial Data Analyst - India,Jumpcloud,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Jumpcloud_JumpCloud___Fin_20260831_091802.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Jumpcloud_JumpCloud___Fin_20260831_091802.pdf,https://jobs.lever.co/jumpcloud/3cde05a3-b7e2-4aea-a5f0-e85f6974789c/apply
TSMG - Surveyor/Field Data Analyst,Tsmg,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Tsmg_TSMG___Surveyor_20260831_091803.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Tsmg_TSMG___Surveyor_20260831_091803.pdf,https://jobs.lever.co/tsmg/7879aaf4-e1bb-481f-83b1-6dafdc82a438/apply
Staff Data Analyst @ Assured,Assured,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Assured_Staff_Data_Anal_20260831_091803.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Assured_Staff_Data_Anal_20260831_091803.pdf,https://jobs.ashbyhq.com/assured/e32471d6-ed9f-4567-b8bb-e600b67176b8
Business Analyst - India @ Juniper Square,Junipersquare,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Junipersquare_Business_Analys_20260831_091804.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Junipersquare_Business_Analys_20260831_091804.pdf,https://jobs.ashbyhq.com/junipersquare/1f486b69-025f-43e0-ac7b-858f63606364
CX Data Analyst @ Harvey,Harvey,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Harvey_CX_Data_Analyst_20260831_091805.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Harvey_CX_Data_Analyst_20260831_091805.pdf,https://jobs.ashbyhq.com/harvey/e69f2050-b4c0-4fbb-9852-2c60d2adbb45
Staff Product Analyst (Product-Led Growth) @ Deepgram,Deepgram,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Deepgram_Staff_Product_A_20260831_091805.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Deepgram_Staff_Product_A_20260831_091805.pdf,https://jobs.ashbyhq.com/Deepgram/790579d8-6474-42ca-9104-9a4bafcf13e9
Data Analyst @ RevenueCat,Revenuecat,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Revenuecat_Data_Analyst____20260831_091806.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Revenuecat_Data_Analyst____20260831_091806.pdf,https://jobs.ashbyhq.com/revenuecat/ea45acc5-ee1f-4f05-b585-9339667d23ff
"Senior Data Analyst, Strategic Operations @ Collective",Collective,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Collective_Senior_Data_Ana_20260831_091807.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Collective_Senior_Data_Ana_20260831_091807.pdf,https://jobs.ashbyhq.com/collective/39c8a250-9e18-4fbf-b2be-5a3e395f84cf
Data Analyst @ Chamber Cardio,Chambercardio,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Chambercardio_Data_Analyst____20260831_091807.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Chambercardio_Data_Analyst____20260831_091807.pdf,https://jobs.ashbyhq.com/chambercardio/eb5a8d6e-def9-4ea6-a76f-b64995ad5711
Data Analyst: Growth & Product @ Smallpdf,Smallpdf,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Smallpdf_Data_Analyst__G_20260831_091808.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Smallpdf_Data_Analyst__G_20260831_091808.pdf,https://jobs.ashbyhq.com/smallpdf/fd1674ee-0316-4bbd-95a7-559dbb8eaa92
DATA ANALYST @ Careerswift,Careerswift.ai,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Careerswift_ai_DATA_ANALYST____20260831_091809.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Careerswift_ai_DATA_ANALYST____20260831_091809.pdf,https://jobs.ashbyhq.com/careerswift.ai/8887e73c-cf6f-4362-b0f9-327ba70878bf
